Rk,Player,,2018-19
428,Royce O'Neale,onealro01,1378242.00 
429,Frank Mason,masonfr01,1378242.00 
430,Davon Reed,reedda01,1378242.00 
431,Rade Zagorac,zagorra01,1378242.00 
432,Dillon Brooks,brookdi01,1378242.00 
433,Tyler Dorsey,dorsety01,1378242.00 
434,Jawun Evans,evansja01,1378242.00 
435,Sindarius Thornwell,thornsi01,1378242.00 
436,Ike Anigbogu,anigbik01,1378242.00 
437,Dwayne Bacon,bacondw01,1378242.00 
438,Kevin Martin,martike02,1360304.00 
439,Ryan Arcidiacono,arcidry01,1349383.00 
440,Monte Morris,morrimo01,1349383.00 
441,Antonio Blakeney,blakean01,1349383.00 
442,Tyrone Wallace,wallaty01,1349383.00 
443,Alfonzo McKinnie,mckinal01,1349383.00 
444,Jabari Bird,birdja01,1349383.00 
445,Daniel Hamilton,hamilda02,1349383.00 
446,Shaquille Harrison,harrish01,1311265.00 
447,Élie Okobo,okoboel01,1238464.00 
448,Jalen Brunson,brunsja01,1230000.00 
449,Michael Carter-Williams,cartemi01,1200000.00 
450,Austin Rivers,riverau01,1155323.00 
451,Melvin Frazier,frazime01,1050000.00 
452,Justin Hamilton,hamilju01,1000000.00 
453,Shelvin Mack,macksh01,1000000.00 
454,Isaac Bonga,bongais01,1000000.00 
455,Kyle Singler,singlky01,999200.00 
456,Devonte' Graham,grahade01,988464.00 
457,Isaiah Taylor,taylois01,950000.00 
458,De'Anthony Melton,meltode01,949000.00 
459,Jason Thompson,thompja02,945126.00 
460,Kenneth Faried,farieke01,917272.00 
461,Chasson Randle,randlch01,869094.00 
462,Gary Trent,trentga02,838464.00 
463,Brad Wanamaker,wanambr01,838464.00 
464,Ryan Broekhoff,broekry01,838464.00 
465,Chimezie Metu,metuch01,838464.00 
466,Hamidou Diallo,diallha01,838464.00 
467,Keita Bates-Diop,bateske01,838464.00 
468,Alize Johnson,johnsal02,838464.00 
469,Bruce Brown,brownbr01,838464.00 
470,Jarred Vanderbilt,vandeja01,838464.00 
471,Khyri Thomas,thomakh01,838464.00 
472,Kenrich Williams,willike04,838464.00 
473,Isaiah Briscoe,briscis01,838464.00 
474,Jevon Carter,carteje01,838464.00 
475,Isaiah Hartenstein,harteis01,838464.00 
476,Ray Spalding,spaldra01,838464.00 
477,Martell Webster,webstma02,833333.00 
478,Lorenzo Brown,brownlo01,800000.00 
479,Patrick McCaw,mccawpa01,786000.00 
480,Wesley Matthews,matthwe02,737715.00 
481,Jeremy Lin,linje01,697000.00 
482,Cole Aldrich,aldrico01,685341.00 
483,James Nunnally,nunnaja01,655632.00 
484,Enes Kanter,kanteen01,653556.00 
485,Carlos Delfino,delfica01,650000.00 
486,Gary Clark,clarkga01,596872.00 
487,Markieff Morris,morrima02,573295.00 
488,Nik Stauskas,stausni01,540472.00 
489,Pau Gasol,gasolpa01,527467.00 
490,Caron Butler,butleca01,517219.00 
491,Zhou Qi,qizh01,506134.00 
492,Bruno Caboclo,cabocbr01,487000.00 
493,Dakari Johnson,johnsda04,459414.00 
494,Chris Boucher,bouchch01,457418.00 
495,Malcolm Miller,millema01,457418.00 
496,Isaiah Canaan,canaais01,456733.00 
497,Edmond Sumner,sumneed01,449794.00 
498,A.J. Hammons,hammoaj01,350088.00 
499,Henry Ellenson,ellenhe01,341831.00 
500,Festus Ezeli,ezelife01,333333.00 
501,C.J. Watson,watsocj01,333333.00 
502,Patrick McCaw,mccawpa01,323529.00 
503,Nick Young,youngni01,311070.00 
504,Corey Brewer,breweco01,270496.00 
505,Corey Brewer,breweco01,270496.00 
506,Okaro White,whiteok01,264919.00 
507,Miroslav Raduljica,radulmi01,252043.00 
508,Eric Moreland,moreler01,239035.00 
509,Jaylen Adams,adamsja01,236854.00 
510,Quincy Acy,acyqu01,213949.00 
511,Tim Frazier,fraziti01,205098.00 
512,Andrew Harrison,harrian01,200000.00 
513,Michael Carter-Williams,cartemi01,198580.00 
514,Jimmer Fredette,fredeji01,198580.00 
515,Isaiah Canaan,canaais01,198580.00 
516,Terrence Jones,joneste01,198580.00 
517,Jodie Meeks,meeksjo01,196724.00 
518,Dairis Bert?ns,bertada02,194220.00 
519,Ray Spalding,spaldra01,184746.00 
520,Bruno Caboclo,cabocbr01,183211.00 
521,Cameron Payne,payneca01,177063.00 
522,Deyonta Davis,davisde01,170916.00 
523,Ron Baker,bakerro01,170915.00 
524,Jamaal Franklin,frankja01,163296.00 
525,Ben Moore,moorebe01,160096.00 
526,Deonte Burton,burtode02,151587.00 
527,Jodie Meeks,meeksjo01,122953.00 
528,Troy Williams,willitr02,122741.00 
529,Greg Monroe,monrogr01,122344.00 
530,Cameron Reynolds,reynoca01,108953.00 
531,Tyler Zeller,zellety01,106974.00 
532,Michael Carter-Williams,cartemi01,99290.00 
533,John Jenkins,jenkijo01,99290.00 
534,John Jenkins,jenkijo01,99290.00 
535,John Jenkins,jenkijo01,99290.00 
536,Isaiah Canaan,canaais01,99290.00 
537,Walt Lemon,lemonwa01,99107.00 
538,Cameron Reynolds,reynoca01,94742.00 
539,Justin Bibbs,bibbsju01,94742.00 
540,Mitchell Creek,creekmi01,94742.00 
541,BJ Johnson,johnsbj01,94742.00 
542,Danuel House Jr.,houseda01,94003.00 
543,Demetrius Jackson,jacksde01,92857.00 
544,Chris Chiozza,chiozch01,90005.00 
545,Eric Moreland,moreler01,88531.00 
546,JaKarr Sampson,sampsja02,88531.00 
547,Henry Ellenson,ellenhe01,85458.00 
548,Gary Payton II,paytoga02,85458.00 
549,Scotty Hopson,hopsosc01,85458.00 
550,Charles Cooke,cookech01,76236.00 
