Starter (=1),FULL NAME,TEAM,POS,ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.,Win %
,Jarell Martin,Orl,F,105.6,94.9,
,Jonathon Simmons,Orl,F,91.5,105,
1,D.J. Augustin,Orl,G,122.7,108.7,
,Isaiah Briscoe,Orl,G,96.3,100.1,
,Michael Carter-Williams,Orl,G,111.5,99.5,
,Jerian Grant,Orl,G,108.4,103.2,
1,Evan Fournier,Orl,G-F,104.2,103.8,
,Melvin Frazier Jr.,Orl,G-F,75.1,100.1,
,Terrence Ross,Orl,G-F,108.1,106.3,
,,,,,,0.6219512195
,Boban Marjanovic,Phi,C,125,99.7,
,Greg Monroe,Phi,C,154.5,103.3,
,Justin Patton,Phi,C,99.6,83,
,Amir Johnson,Phi,C-F,109.1,92.7,
,Jonah Bolden,Phi,F,111.4,96.2,
,Wilson Chandler,Phi,F,111.2,103.7,
1,Robert Covington,Phi,F,102.3,101.2,
,James Ennis III,Phi,F,108.7,99.8,
,Tobias Harris,Phi,F,112.5,106.3,
,Haywood Highsmith,Phi,F,83.3,111.3,
1,Dario Saric,Phi,F,99,103.6,
,Mike Scott,Phi,F,106.7,103.7,
,Jonathon Simmons,Phi,F,112.2,103.1,
1,Joel Embiid,Phi,F-C,113.7,98.7,
,Mike Muscala,Phi,F-C,112.4,102.8,
1,Markelle Fultz,Phi,G,99.4,100.9,
,Demetrius Jackson,Phi,G,138.3,104.5,
,T.J. McConnell,Phi,G,110.3,105.4,
,Shake Milton,Phi,G,104.3,103.1,
,JJ Redick,Phi,G,118.2,110.4,
,Landry Shamet,Phi,G,119.4,105.9,
,Zhaire Smith,Phi,G,104.8,107.7,
,Corey Brewer,Phi,G-F,96,99.2,
,Jimmy Butler,Phi,G-F,120.8,107.4,
,Furkan Korkmaz,Phi,G-F,107.7,103.2,
1,Ben Simmons,Phi,G-F,113.8,103.1,
,,,,,,0.2317073171
,Deandre Ayton,Pho,C,117.7,106.6,
,Tyson Chandler,Pho,C,112.3,87.5,
